avaliacao_id,produto_id,cliente_id,nota,data_avaliacao,comentario
62,4,390,2.0,2025-02-20,Demorou muito para chegar.
63,4,868,3.5,2024-12-28,Regular.
64,4,1380,3.5,2024-02-25,
65,4,202,4.0,2025-10-23,Custo-benefício excelente.
66,4,510,4.0,2024-04-21,Melhor compra do ano.
67,4,288,3.0,2025-04-04,Razoável.
68,4,512,2.5,2025-04-18,
69,4,908,3.5,2024-03-18,
70,4,201,4.0,2025-07-17,Melhor compra do ano.
71,4,192,1.0,2024-01-16,
72,4,341,4.0,2024-08-30,Funciona perfeitamente.
73,4,822,3.0,2024-08-06,
74,4,777,4.0,2024-06-17,Adorei!
75,4,932,3.0,2024-09-28,Regular.
76,5,1472,3.5,2025-11-08,Cumpre o prometido.
77,5,446,0.5,2024-10-30,
78,5,1111,3.5,2025-08-16,Razoável.
79,5,103,3.0,2024-02-28,Nem bom nem ruim.
80,5,323,4.5,2025-06-27,Melhor compra do ano.
81,5,381,2.5,2024-03-23,Produto ok.
82,5,482,4.0,2025-11-22,Qualidade superior.
83,5,1186,3.0,2024-09-09,Nem bom nem ruim.
84,5,859,4.5,2024-03-24,
85,5,1071,5.0,2025-08-01,Entrega rápida e produto perfeito.
86,5,1372,3.0,2024-07-28,
87,5,544,5.0,2024-09-01,Entrega rápida e produto perfeito.
88,5,648,2.0,2025-04-13,
89,5,20,4.5,2024-03-15,Qualidade superior.
90,5,151,4.5,2024-04-12,Melhor compra do ano.
91,5,272,3.0,2024-09-28,
92,5,501,1.0,2024-03-11,Chegou com defeito.
93,5,1113,2.0,2025-03-24,
94,5,1340,5.0,2025-09-18,Melhor compra do ano.
95,5,1359,4.5,2024-11-02,Excelente qualidade.
96,6,220,4.5,2024-04-28,
97,6,558,4.5,2024-06-08,Superou minhas expectativas.
98,6,417,3.0,2024-12-17,
99,6,1036,5.0,2024-09-27,Ótimo produto!
100,6,1300,3.5,2024-04-04,Razoável.
101,6,8,5.0,2024-02-15,Excelente qualidade.
102,6,537,4.0,2025-10-14,Funciona perfeitamente.
103,6,1446,3.0,2025-07-18,Produto ok.
104,6,155,4.5,2024-04-24,
105,6,306,3.5,2025-12-08,Razoável.
106,6,1132,3.5,2025-08-19,Cumpre o prometido.
107,6,632,3.5,2024-02-12,Produto ok.
108,6,431,2.5,2025-01-01,
109,6,211,4.5,2025-11-13,Melhor compra do ano.
110,6,1272,2.5,2025-02-20,
111,6,333,4.0,2024-08-30,
112,7,51,5.0,2025-02-26,Custo-benefício excelente.
113,7,1372,2.5,2025-02-25,
114,7,547,3.0,2024-09-11,Regular.
115,7,784,4.5,2024-04-20,
116,7,456,3.0,2025-04-26,Dentro do esperado.
117,7,626,2.5,2024-12-24,
118,7,457,2.0,2024-08-21,Qualidade baixa.
119,7,673,2.5,2025-02-12,Produto ok.
120,8,1314,3.0,2024-12-25,Regular.
121,8,679,3.0,2025-07-03,
122,8,535,5.0,2024-04-28,Entrega rápida e produto perfeito.
123,8,223,3.5,2024-02-09,Razoável.
124,8,894,3.5,2024-11-17,
125,8,237,1.5,2025-06-07,Qualidade baixa.
126,8,91,1.5,2024-09-17,
127,8,1065,3.5,2024-01-02,
128,8,1407,1.5,2025-07-05,
129,8,404,2.0,2025-11-17,Não vale o preço.
130,8,677,4.5,2025-11-11,
131,9,1039,2.5,2024-11-03,Dentro do esperado.
132,9,825,4.5,2024-11-30,
133,9,261,0.5,2025-07-21,Demorou muito para chegar.
134,9,357,2.0,2025-11-24,
135,9,832,4.5,2024-11-04,Ótimo produto!
136,9,588,5.0,2024-11-07,Qualidade superior.
137,10,660,4.5,2025-11-01,Funciona perfeitamente.
138,10,438,2.5,2025-11-22,Regular.
139,10,1350,4.5,2024-06-22,Melhor compra do ano.
140,10,1297,5.0,2025-11-10,
141,10,482,5.0,2024-04-05,
142,10,408,5.0,2024-08-18,Ótimo produto!
143,10,974,2.5,2024-09-07,
144,10,933,4.5,2024-03-15,Qualidade superior.
145,10,1472,3.5,2024-07-18,
146,10,819,4.0,2025-05-21,Ótimo produto!
147,10,871,4.0,2024-04-19,Melhor compra do ano.
148,10,103,2.5,2025-04-20,Produto ok.
149,10,274,3.0,2025-04-12,
150,10,1088,5.0,2025-11-14,
151,10,650,1.0,2025-09-01,
152,10,1255,5.0,2025-03-29,
153,10,874,5.0,2025-05-31,
154,10,914,3.5,2025-07-15,
155,10,922,4.0,2025-05-01,Superou minhas expectativas.
156,10,568,3.5,2025-10-14,
157,10,993,2.0,2025-06-17,
158,10,901,4.5,2024-10-08,Entrega rápida e produto perfeito.
159,10,557,2.0,2024-08-28,Não vale o preço.
160,10,309,3.0,2024-05-21,Regular.
161,10,1447,1.0,2024-06-05,Demorou muito para chegar.
162,10,678,3.5,2025-02-21,Dentro do esperado.
163,10,424,4.0,2024-03-04,
164,11,1425,4.0,2025-08-21,Qualidade superior.
165,11,977,4.5,2025-01-24,Custo-benefício excelente.
166,11,799,5.0,2024-11-01,
167,11,1103,4.5,2025-03-05,
168,11,1236,2.0,2025-07-13,
169,11,450,4.0,2025-05-14,Funciona perfeitamente.
170,11,797,2.0,2024-01-30,Demorou muito para chegar.
171,11,958,0.5,2024-06-18,
172,11,1094,4.0,2025-09-29,Adorei!
173,11,1156,4.0,2025-08-29,
174,11,1317,4.5,2024-03-26,Funciona perfeitamente.
175,11,103,4.0,2024-07-05,Custo-benefício excelente.
176,11,932,2.5,2024-08-04,Dentro do esperado.
177,11,864,4.5,2024-10-11,"Muito bom, recomendo."
178,11,40,4.5,2025-04-26,
179,12,460,4.0,2024-12-24,
180,12,83,2.0,2025-10-29,
181,12,409,1.5,2024-09-10,
182,12,313,4.5,2025-09-28,Funciona perfeitamente.
183,13,447,4.5,2025-07-31,Entrega rápida e produto perfeito.
184,13,344,4.0,2025-01-12,
185,13,336,1.0,2024-04-27,
186,13,1186,4.5,2024-04-20,Entrega rápida e produto perfeito.
187,13,1388,4.0,2025-08-12,
188,13,813,4.0,2025-01-19,
189,14,1213,2.0,2024-03-18,
190,14,498,4.0,2025-10-04,Entrega rápida e produto perfeito.
191,14,1230,1.5,2025-12-01,
192,14,85,2.0,2025-08-02,Demorou muito para chegar.
193,14,759,3.5,2025-11-08,Regular.
194,14,26,4.0,2024-12-15,
195,14,217,3.0,2025-05-16,Razoável.
196,14,942,3.0,2025-10-12,
197,14,361,3.5,2025-03-21,
198,15,1262,4.5,2024-10-03,
199,15,991,1.5,2025-07-05,Não recomendo.
200,15,503,2.5,2024-11-26,
201,15,572,4.0,2024-03-29,
202,15,952,2.0,2024-09-06,Demorou muito para chegar.
203,15,59,2.5,2024-12-10,Razoável.
204,15,999,4.0,2024-07-05,Entrega rápida e produto perfeito.
205,15,573,3.0,2024-12-14,
206,15,566,4.0,2025-12-19,Melhor compra do ano.
207,15,176,1.5,2024-07-14,Demorou muito para chegar.
208,15,1138,3.5,2025-05-15,
209,15,976,5.0,2025-12-08,
210,15,918,4.0,2025-05-17,
211,15,603,3.5,2024-04-05,Regular.
212,15,628,2.5,2024-09-06,
213,15,970,0.0,2025-01-12,Poderia ser melhor.
214,15,1128,1.0,2025-03-11,Não funcionou como esperado.
215,15,628,4.5,2024-10-04,"Muito bom, recomendo."
216,15,647,2.0,2024-07-16,Chegou com defeito.
217,15,444,3.5,2024-07-15,
218,15,1484,4.5,2024-10-10,Melhor compra do ano.
219,15,580,4.0,2025-09-03,
220,15,607,2.0,2024-07-17,Chegou com defeito.
221,15,29,4.5,2024-11-05,
222,15,562,4.0,2024-05-09,Ótimo produto!
223,15,599,2.0,2025-07-20,
224,15,1307,4.5,2024-05-09,
225,15,211,2.0,2025-05-17,
226,16,981,4.5,2025-04-25,Excelente qualidade.
227,16,518,3.5,2024-02-22,
228,16,234,2.0,2025-05-04,
229,16,1008,2.5,2025-02-14,Regular.
230,16,110,2.5,2025-12-03,Nem bom nem ruim.
231,16,175,3.0,2024-11-07,
232,16,1143,2.5,2024-05-01,
233,16,1221,4.5,2025-09-12,
234,16,1071,2.0,2024-08-19,Não funcionou como esperado.
235,16,1206,4.0,2024-10-31,
236,16,1165,4.5,2024-11-08,
237,16,204,0.5,2025-09-16,
238,17,433,4.0,2025-10-02,"Muito bom, recomendo."
239,17,492,4.0,2024-06-09,"Muito bom, recomendo."
240,17,6,3.5,2024-06-09,Regular.
241,17,963,4.5,2025-08-31,Superou minhas expectativas.
242,17,1448,3.5,2024-10-22,Dentro do esperado.
243,17,1408,3.0,2024-03-13,Razoável.
244,17,1208,4.5,2025-10-02,
245,17,871,4.0,2024-07-21,Superou minhas expectativas.
246,17,306,4.5,2025-10-25,
247,18,123,1.0,2024-03-14,Não recomendo.
248,18,1166,2.0,2025-09-01,
249,18,255,3.5,2025-03-25,Razoável.
250,18,825,5.0,2025-12-17,
251,18,1106,3.0,2025-05-27,Produto ok.
252,18,82,4.0,2025-09-04,
253,18,1237,5.0,2024-11-26,"Muito bom, recomendo."
254,19,1179,5.0,2025-11-21,Ótimo produto!
255,19,552,4.5,2025-11-19,Excelente qualidade.
256,19,1063,5.0,2025-04-26,
257,19,372,3.5,2024-10-11,
258,19,1301,4.5,2025-03-22,
259,19,963,1.5,2024-04-03,Poderia ser melhor.
260,19,1373,4.0,2024-11-24,Excelente qualidade.
261,19,844,4.0,2024-12-03,
262,19,1357,4.0,2024-10-22,
263,19,76,5.0,2025-07-17,Custo-benefício excelente.
264,20,238,4.0,2024-11-27,
265,20,1054,3.5,2025-02-17,
266,20,1347,3.0,2024-01-02,
267,20,847,4.0,2025-04-18,Melhor compra do ano.
268,20,1276,3.0,2025-01-05,
269,20,906,2.5,2025-10-02,
270,20,547,3.0,2024-07-27,Razoável.
271,20,1431,3.5,2025-03-24,Produto ok.
272,20,1247,2.0,2025-10-07,
273,20,325,0.5,2025-12-27,Decepcionante.
274,20,836,5.0,2025-07-19,"Muito bom, recomendo."
275,20,241,2.5,2025-04-17,
276,20,1021,5.0,2024-06-06,
277,20,1043,4.5,2024-10-25,
278,20,989,0.5,2025-03-01,
279,20,936,4.0,2024-09-06,Adorei!
280,21,1041,2.5,2025-09-05,
281,21,143,3.5,2024-05-19,Dentro do esperado.
282,21,1040,1.5,2024-12-14,Decepcionante.
283,21,1487,3.0,2024-10-16,Nem bom nem ruim.
284,21,1352,3.0,2025-08-16,Cumpre o prometido.
285,21,1104,4.0,2025-04-02,Custo-benefício excelente.
286,21,1113,1.5,2025-07-19,Poderia ser melhor.
287,21,1429,4.0,2024-07-12,Adorei!
288,21,842,3.5,2024-08-27,Regular.
289,22,781,2.5,2025-12-23,Regular.
290,22,312,3.0,2025-10-29,Produto ok.
291,22,1029,3.5,2024-05-09,
292,22,206,5.0,2024-12-05,
293,22,205,4.0,2025-03-26,Funciona perfeitamente.
294,22,1480,5.0,2024-01-16,Excelente qualidade.
295,22,962,3.5,2024-03-17,
296,22,694,4.0,2024-09-28,
297,22,1331,3.5,2025-02-11,Razoável.
298,22,1093,5.0,2025-11-21,Custo-benefício excelente.
299,22,1472,3.5,2025-10-03,
300,22,1109,3.5,2025-05-14,Produto ok.
301,22,1293,3.0,2024-08-28,
302,22,466,4.0,2024-10-21,
303,22,202,3.5,2025-03-20,
304,22,206,5.0,2025-12-21,Entrega rápida e produto perfeito.
305,22,95,0.5,2024-01-30,Decepcionante.
306,22,735,4.0,2024-10-27,Excelente qualidade.
307,23,844,2.5,2025-06-27,Cumpre o prometido.
308,23,359,3.5,2024-06-23,Dentro do esperado.
309,23,1400,2.5,2025-09-26,Nem bom nem ruim.
310,23,476,2.5,2024-05-26,Razoável.
311,23,523,2.5,2025-04-15,
312,23,590,2.5,2025-04-21,
313,23,152,5.0,2024-06-10,Custo-benefício excelente.
314,23,613,5.0,2025-08-24,
315,23,1414,2.5,2025-03-10,Razoável.
316,23,788,4.5,2024-07-22,
317,24,782,1.5,2024-08-30,Não recomendo.
318,24,605,2.5,2025-12-17,Regular.
319,24,563,2.0,2025-02-09,Decepcionante.
320,24,1018,4.5,2025-09-12,
321,24,472,0.5,2024-10-20,
322,24,449,2.5,2024-12-26,
323,25,1477,1.5,2025-11-25,
324,25,281,1.5,2025-11-28,
325,25,1324,2.5,2025-10-04,Dentro do esperado.
326,25,1187,4.5,2024-02-04,Excelente qualidade.
327,25,605,5.0,2024-04-02,Adorei!
328,25,412,5.0,2024-06-28,Melhor compra do ano.
329,25,1088,1.5,2025-01-09,Não recomendo.
330,25,527,2.5,2024-06-17,
331,25,605,1.5,2025-05-08,
332,25,236,2.5,2024-12-12,Produto ok.
333,25,463,4.5,2024-05-24,
334,26,750,2.0,2025-07-24,Demorou muito para chegar.
335,26,542,3.0,2024-01-15,Dentro do esperado.
336,26,1378,5.0,2025-01-12,
337,26,1198,4.5,2024-09-25,Custo-benefício excelente.
338,26,1383,5.0,2024-04-20,Ótimo produto!
339,26,1150,2.0,2025-09-26,Qualidade baixa.
340,26,130,3.0,2025-10-25,
341,26,1436,3.0,2025-04-20,Dentro do esperado.
342,26,287,4.0,2024-04-29,Ótimo produto!
343,26,1009,3.5,2024-11-07,Cumpre o prometido.
344,26,278,3.0,2025-07-04,Razoável.
345,26,1427,2.5,2025-11-17,
346,26,1203,2.5,2025-03-05,
347,26,850,4.0,2024-06-07,
348,26,1261,2.5,2025-05-16,Razoável.
349,27,759,2.0,2025-12-07,Não funcionou como esperado.
350,27,743,5.0,2024-08-29,Custo-benefício excelente.
351,27,1321,4.0,2025-07-11,Adorei!
352,27,389,3.0,2024-10-09,
353,28,1358,2.5,2024-04-03,Regular.
354,28,44,3.5,2025-09-03,Razoável.
355,28,258,3.0,2024-09-06,
356,28,141,5.0,2024-07-29,
357,28,425,3.0,2025-07-21,Cumpre o prometido.
358,28,303,4.5,2024-12-02,
359,28,6,1.0,2025-09-02,Chegou com defeito.
360,28,1107,2.0,2024-05-13,Chegou com defeito.
361,28,1354,4.5,2024-04-22,
362,28,31,4.5,2024-05-14,Superou minhas expectativas.
363,28,664,3.5,2025-08-25,Razoável.
364,28,260,4.0,2024-02-23,
365,28,233,4.5,2025-06-22,
366,28,919,5.0,2025-05-02,
367,28,1216,2.0,2025-06-09,Qualidade baixa.
368,28,89,5.0,2025-09-21,
369,28,1068,2.5,2025-11-05,Regular.
370,29,981,3.5,2024-03-03,
371,29,1406,3.5,2025-03-12,Regular.
372,29,151,5.0,2025-03-30,
373,30,304,3.0,2025-09-14,Razoável.
374,30,1297,4.5,2025-10-01,Custo-benefício excelente.
375,30,1224,4.0,2025-01-25,Funciona perfeitamente.
376,30,1240,4.5,2025-06-01,"Muito bom, recomendo."
377,30,1334,4.0,2025-11-01,
378,30,1477,4.0,2025-07-18,
379,30,925,4.5,2025-03-16,
380,30,695,4.5,2025-02-27,
381,30,852,4.0,2025-02-12,
382,30,875,5.0,2024-11-16,Entrega rápida e produto perfeito.
383,30,313,4.0,2025-01-18,
384,30,138,2.5,2025-04-30,Produto ok.
385,30,885,4.0,2024-04-05,Custo-benefício excelente.
386,31,123,5.0,2025-07-23,Melhor compra do ano.
387,31,676,4.5,2025-07-29,
388,31,725,4.0,2025-02-24,
389,31,1477,4.0,2025-03-09,Entrega rápida e produto perfeito.
390,31,640,4.0,2025-09-06,Qualidade superior.
391,31,436,4.0,2025-06-03,Funciona perfeitamente.
392,31,222,4.0,2024-08-17,Melhor compra do ano.
393,32,571,2.5,2024-04-27,Dentro do esperado.
394,32,1274,2.0,2025-07-28,
395,32,1141,3.0,2025-10-20,Regular.
396,32,548,3.5,2025-12-11,Razoável.
397,32,633,5.0,2025-12-20,
398,32,13,2.5,2024-12-25,Cumpre o prometido.
399,32,1347,4.0,2025-08-02,Excelente qualidade.
400,32,63,4.5,2025-10-10,Melhor compra do ano.
401,32,771,3.0,2024-08-08,Razoável.
402,32,758,3.0,2024-06-10,Razoável.
403,32,1222,3.0,2025-08-04,Produto ok.
404,32,323,4.5,2024-06-08,
405,32,1381,5.0,2024-02-20,Funciona perfeitamente.
406,32,869,3.0,2025-11-08,Dentro do esperado.
407,33,442,4.0,2024-10-06,
408,33,707,3.0,2024-04-26,Razoável.
409,33,1390,4.0,2025-11-25,Melhor compra do ano.
410,33,632,3.0,2025-11-14,Dentro do esperado.
411,33,113,4.0,2025-09-05,Entrega rápida e produto perfeito.
412,33,282,3.0,2024-08-04,
413,33,672,3.5,2024-10-23,Dentro do esperado.
414,33,360,5.0,2025-03-16,Melhor compra do ano.
415,33,472,2.5,2025-12-21,Regular.
416,33,148,3.0,2024-12-28,Regular.
417,33,894,5.0,2024-02-13,"Muito bom, recomendo."
418,33,1180,3.5,2024-11-16,Dentro do esperado.
419,33,1312,2.0,2025-12-27,Não vale o preço.
420,33,43,3.5,2025-02-18,
421,33,1266,5.0,2024-06-24,Custo-benefício excelente.
422,33,895,1.5,2024-03-31,
423,34,1207,4.0,2025-03-22,"Muito bom, recomendo."
424,34,636,4.5,2025-02-09,
425,34,683,4.0,2024-08-14,
426,34,1046,3.5,2024-03-19,
427,34,1045,4.0,2025-06-27,Custo-benefício excelente.
428,34,1490,4.5,2024-12-25,
429,34,303,4.0,2025-10-22,Excelente qualidade.
430,34,405,4.0,2024-09-19,Excelente qualidade.
431,34,155,3.5,2025-11-02,Regular.
432,34,951,3.5,2025-05-20,
433,35,1157,4.0,2025-11-28,
434,35,662,4.0,2025-10-01,
435,35,648,5.0,2025-10-04,"Muito bom, recomendo."
436,35,906,3.0,2025-04-25,
437,35,1212,3.0,2024-10-08,Nem bom nem ruim.
438,35,636,4.0,2024-03-16,Ótimo produto!
439,35,756,3.5,2024-02-28,
440,35,1321,2.5,2024-03-19,
441,35,1260,5.0,2024-04-02,Adorei!
442,35,1189,4.0,2025-04-18,Ótimo produto!
443,35,1171,4.5,2025-04-05,
444,35,1240,3.0,2024-11-25,Cumpre o prometido.
445,35,923,4.5,2024-03-04,Custo-benefício excelente.
446,35,1034,3.0,2024-03-27,
447,35,508,1.0,2024-02-10,
448,35,1074,4.5,2025-03-25,Excelente qualidade.
449,35,764,3.5,2025-01-07,
450,36,693,4.5,2025-02-22,
451,36,1293,2.5,2024-02-23,
452,36,676,2.0,2024-03-08,Demorou muito para chegar.
453,36,517,3.5,2024-10-17,
454,36,1235,4.0,2025-11-03,
455,36,167,3.5,2024-12-07,Cumpre o prometido.
456,36,636,4.5,2024-12-24,
457,36,1357,2.0,2025-12-16,Não vale o preço.
458,36,1145,3.5,2024-11-13,Razoável.
459,36,1373,4.0,2024-05-10,
460,36,1079,4.0,2025-12-02,Adorei!
461,36,742,3.5,2025-06-04,Razoável.
462,36,439,4.0,2024-07-03,Funciona perfeitamente.
463,36,464,4.5,2024-07-15,
464,36,159,4.0,2024-06-07,"Muito bom, recomendo."
465,37,1079,3.0,2025-07-06,Razoável.
466,37,269,3.0,2025-09-24,Cumpre o prometido.
467,37,371,3.0,2024-06-15,
468,37,340,4.5,2025-10-01,
469,37,842,5.0,2024-02-14,Superou minhas expectativas.
470,37,1251,3.5,2025-03-30,Regular.
471,37,480,4.5,2025-04-04,Entrega rápida e produto perfeito.
472,37,398,4.5,2025-04-25,Qualidade superior.
473,37,946,2.0,2025-03-27,
474,37,1030,2.5,2025-01-26,Cumpre o prometido.
475,37,1239,5.0,2024-07-23,Entrega rápida e produto perfeito.
476,37,1314,3.5,2024-02-23,Razoável.
477,37,211,3.5,2025-07-21,
478,37,256,2.5,2025-06-12,Cumpre o prometido.
479,37,921,3.5,2024-10-06,
480,37,896,2.5,2024-05-30,Cumpre o prometido.
481,37,716,2.0,2025-04-06,
482,37,110,3.0,2025-02-28,Razoável.
483,37,791,5.0,2024-08-29,
484,37,460,4.5,2025-01-18,"Muito bom, recomendo."
485,37,687,3.0,2025-10-27,
486,37,79,3.0,2024-05-20,Dentro do esperado.
487,37,285,2.5,2025-12-13,
488,37,919,3.5,2025-04-25,
489,38,525,5.0,2024-01-20,Excelente qualidade.
490,38,1490,2.0,2025-07-15,
491,38,228,5.0,2025-03-09,
492,38,617,4.5,2024-08-31,Superou minhas expectativas.
493,38,1309,2.5,2025-03-05,
494,39,228,2.5,2024-03-05,
495,39,1223,0.5,2025-05-26,Qualidade baixa.
496,39,597,4.5,2024-05-27,Qualidade superior.
497,39,493,4.5,2024-12-27,Excelente qualidade.
498,39,1369,2.0,2025-11-11,Poderia ser melhor.
499,39,1078,3.5,2024-03-10,Nem bom nem ruim.
500,39,42,4.5,2025-07-21,Funciona perfeitamente.
501,39,1302,4.0,2024-02-14,Custo-benefício excelente.
502,39,34,4.5,2024-09-16,"Muito bom, recomendo."
503,39,494,2.0,2024-12-19,
504,39,213,5.0,2025-10-05,
505,39,274,3.5,2024-12-06,Nem bom nem ruim.
506,39,1317,5.0,2024-12-12,Funciona perfeitamente.
507,39,981,1.0,2025-12-13,
508,39,130,4.5,2024-05-18,
509,39,76,4.0,2025-04-13,Ótimo produto!
510,39,86,3.5,2024-07-23,Razoável.
511,40,1113,4.0,2025-02-11,Ótimo produto!
512,40,392,4.5,2025-10-24,Ótimo produto!
513,40,680,1.5,2025-11-02,Poderia ser melhor.
514,40,820,3.5,2025-03-23,
515,40,695,2.5,2025-01-30,
516,40,1418,2.5,2025-05-23,Nem bom nem ruim.
517,40,170,3.5,2024-09-30,
518,40,882,4.5,2024-03-21,
519,40,1118,4.5,2024-07-03,"Muito bom, recomendo."
520,40,672,2.0,2024-03-22,
521,40,914,1.5,2024-11-09,
522,40,342,5.0,2025-03-12,
523,40,916,2.5,2024-12-25,Razoável.
524,40,891,5.0,2025-09-21,Ótimo produto!
525,40,1375,0.5,2024-03-17,
526,40,1051,2.5,2025-01-07,
527,40,328,4.5,2025-11-26,
528,40,1245,1.5,2024-05-26,
529,40,72,4.0,2025-03-24,Superou minhas expectativas.
530,41,785,1.5,2025-01-05,
531,41,1240,3.0,2024-02-03,Dentro do esperado.
532,41,762,3.0,2025-01-14,Produto ok.
533,41,282,3.5,2025-08-10,Dentro do esperado.
534,41,1331,2.5,2024-11-17,Produto ok.
535,41,382,3.0,2024-01-27,Dentro do esperado.
536,41,242,2.0,2025-07-29,Não recomendo.
537,41,914,5.0,2025-12-21,Qualidade superior.
538,41,1422,3.0,2024-10-19,
539,41,410,1.0,2025-05-17,Não vale o preço.
540,41,354,4.0,2025-04-07,
541,41,180,5.0,2025-03-31,
542,41,1368,2.0,2024-11-23,Não vale o preço.
543,41,1111,4.5,2025-07-17,Entrega rápida e produto perfeito.
544,42,1454,4.5,2025-12-29,
545,42,357,4.0,2025-10-15,
546,42,460,2.0,2025-06-04,Qualidade baixa.
547,42,485,2.5,2024-05-22,
548,42,740,3.5,2024-01-27,Razoável.
549,42,1130,4.5,2025-04-23,"Muito bom, recomendo."
550,42,634,4.5,2024-03-08,Funciona perfeitamente.
551,42,842,2.0,2025-06-22,
552,43,257,1.5,2024-03-16,
553,43,152,4.0,2025-10-19,Melhor compra do ano.
554,43,263,2.5,2024-12-18,
555,43,1311,3.0,2025-07-18,Cumpre o prometido.
556,43,1030,3.5,2025-03-19,
557,43,255,4.5,2024-02-26,Entrega rápida e produto perfeito.
558,43,332,5.0,2024-06-17,Superou minhas expectativas.
559,43,1063,4.5,2024-12-20,
560,43,514,4.0,2024-03-21,Melhor compra do ano.
561,43,257,3.5,2024-10-08,
562,43,1093,5.0,2025-09-21,Excelente qualidade.
563,43,1190,3.5,2025-08-29,Regular.
564,43,1476,4.5,2025-10-01,
565,43,1155,5.0,2024-12-11,Ótimo produto!
566,43,94,5.0,2024-03-24,
567,43,543,1.5,2025-08-13,
568,43,854,3.5,2025-08-08,
569,43,1020,2.5,2024-02-01,
570,43,594,3.0,2025-07-12,
571,43,990,4.0,2024-11-05,Adorei!
572,43,929,2.5,2024-10-31,Produto ok.
573,43,901,0.5,2024-06-10,Não funcionou como esperado.
574,43,697,1.5,2024-07-27,
575,43,1472,1.0,2024-11-16,Poderia ser melhor.
576,43,268,4.0,2025-02-12,
577,43,1151,2.0,2025-06-11,Qualidade baixa.
578,44,548,3.5,2024-05-05,Cumpre o prometido.
579,44,104,2.5,2024-04-09,Dentro do esperado.
580,44,857,4.0,2025-09-22,Excelente qualidade.
581,44,1184,4.5,2024-12-01,
582,44,327,5.0,2024-07-13,Melhor compra do ano.
583,44,1022,3.5,2025-04-23,
584,44,48,4.0,2025-05-24,Adorei!
585,44,937,4.5,2025-06-01,
586,44,1195,2.5,2024-08-08,Produto ok.
587,44,1014,1.0,2024-10-15,Não funcionou como esperado.
588,44,1100,3.5,2024-10-19,Produto ok.
589,44,275,5.0,2025-03-17,
590,44,826,4.0,2025-01-09,Adorei!
591,44,1168,4.5,2024-02-22,Custo-benefício excelente.
592,44,592,4.5,2025-07-20,Melhor compra do ano.
593,44,1127,3.0,2025-04-06,Nem bom nem ruim.
594,44,1252,4.0,2025-11-27,"Muito bom, recomendo."
595,45,695,4.0,2025-01-17,Custo-benefício excelente.
